epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.1265239268541336,0.3597642183303833,0.637807554627955,0.8229564491008641,0.5218710322929326,0.6178436029914641
2,0.05489637330174446,0.15618222951889038,0.7509955211901395,0.9384025676899932,0.8075900455072013,0.9337487925496453
3,0.12848977744579315,0.08294841647148132,0.8018652150574731,0.9645254888736936,0.6897449919762333,0.9295389618830501
4,0.05220004916191101,0.04173600673675537,0.8185459785799962,0.9700316415549849,0.8126071095136189,0.9648857121338533
5,0.06118760630488396,0.06243361160159111,0.8275377283223063,0.9732438174833686,0.7825748998104518,0.9471329182624606
6,0.038239985704422,0.047214359045028687,0.8366354202455165,0.9762114472887545,0.816781343175587,0.9683310264546747
